ID,State_Native_Symbol,regular_flag,endangered_flag,regular_flag_label,endangered_flag_label
1,AK,122,0,Native Plants: 122,Endangered Plants: 0
2,AL,269,0,Native Plants: 269,Endangered Plants: 0
3,AR,250,5,Native Plants: 250,Endangered Plants: 5
4,AZ,131,10,Native Plants: 131,Endangered Plants: 10
5,CA,162,0,Native Plants: 162,Endangered Plants: 0
6,CO,176,0,Native Plants: 176,Endangered Plants: 0
7,CT,298,52,Native Plants: 298,Endangered Plants: 52
8,DC,218,0,Native Plants: 218,Endangered Plants: 0
9,DE,259,0,Native Plants: 259,Endangered Plants: 0
10,FL,197,20,Native Plants: 197,Endangered Plants: 20
11,GA,276,3,Native Plants: 276,Endangered Plants: 3
12,HI,15,0,Native Plants: 15,Endangered Plants: 0
13,IA,254,21,Native Plants: 254,Endangered Plants: 21
14,ID,163,0,Native Plants: 163,Endangered Plants: 0
15,IL,344,47,Native Plants: 344,Endangered Plants: 47
16,IN,320,60,Native Plants: 320,Endangered Plants: 60
17,KS,193,0,Native Plants: 193,Endangered Plants: 0
18,KY,285,41,Native Plants: 285,Endangered Plants: 41
19,LA,230,0,Native Plants: 230,Endangered Plants: 0
20,MA,314,36,Native Plants: 314,Endangered Plants: 36
21,MD,339,43,Native Plants: 339,Endangered Plants: 43
22,ME,279,63,Native Plants: 279,Endangered Plants: 63
23,MI,344,58,Native Plants: 344,Endangered Plants: 58
24,MN,285,9,Native Plants: 285,Endangered Plants: 9
25,MO,274,0,Native Plants: 274,Endangered Plants: 0
26,MS,237,0,Native Plants: 237,Endangered Plants: 0
27,MT,178,0,Native Plants: 178,Endangered Plants: 0
28,NC,308,7,Native Plants: 308,Endangered Plants: 7
29,ND,180,0,Native Plants: 180,Endangered Plants: 0
30,NE,186,0,Native Plants: 186,Endangered Plants: 0
31,NH,265,45,Native Plants: 265,Endangered Plants: 45
32,NJ,342,50,Native Plants: 342,Endangered Plants: 50
33,NM,166,1,Native Plants: 166,Endangered Plants: 1
34,NV,135,13,Native Plants: 135,Endangered Plants: 13
35,NY,377,86,Native Plants: 377,Endangered Plants: 86
36,OH,326,51,Native Plants: 326,Endangered Plants: 51
37,OK,226,0,Native Plants: 226,Endangered Plants: 0
38,OR,177,0,Native Plants: 177,Endangered Plants: 0
39,PA,351,88,Native Plants: 351,Endangered Plants: 88
40,PW,3,0,Native Plants: 3,Endangered Plants: 0
41,RI,237,40,Native Plants: 237,Endangered Plants: 40
42,SC,255,0,Native Plants: 255,Endangered Plants: 0
43,SD,194,0,Native Plants: 194,Endangered Plants: 0
44,TN,301,41,Native Plants: 301,Endangered Plants: 41
45,TX,233,0,Native Plants: 233,Endangered Plants: 0
46,UT,146,0,Native Plants: 146,Endangered Plants: 0
47,VA,333,1,Native Plants: 333,Endangered Plants: 1
48,VT,254,19,Native Plants: 254,Endangered Plants: 19
49,WA,170,17,Native Plants: 170,Endangered Plants: 17
50,WI,294,15,Native Plants: 294,Endangered Plants: 15
51,WV,280,0,Native Plants: 280,Endangered Plants: 0
52,WY,172,0,Native Plants: 172,Endangered Plants: 0
